result_dir,evaluator,method,mode,psnr_db,ssim,ms_ssim_3scale,top1_percent,top5_percent,clean_top1_percent
out_continuous_uep_alpha02_primary_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,tsn,continuous_uep,learned,23.115227666307003,0.6771744156243108,0.8319737666570548,30.93971631205674,56.205673758865245,68.26241134751773
out_continuous_uep_alpha02_primary_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,tsn,continuous_uep,random,23.113412334563883,0.6772910427328542,0.8319547012553993,30.93971631205674,56.02836879432624,68.26241134751773
out_continuous_uep_alpha02_primary_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,tsn,continuous_uep,all_ones,23.11360210307101,0.6772998301378379,0.8319631418649186,30.93971631205674,55.93971631205674,68.26241134751773
out_continuous_uep_alpha02_primary_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,tsn,continuous_uep,bypass,23.113602108143745,0.6772998305341453,0.8319631405967347,30.93971631205674,55.93971631205674,68.26241134751773
out_continuous_uep_r2plus1d_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,r2plus1d,continuous_uep,learned,23.115227676452474,0.6771744151223213,0.8319737653888709,22.78368794326241,47.783687943262414,79.16666666666667
out_continuous_uep_r2plus1d_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,r2plus1d,continuous_uep,random,23.113412337945707,0.6772910428121157,0.8319547031048342,22.69503546099291,47.695035460992905,79.16666666666667
out_continuous_uep_r2plus1d_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,r2plus1d,continuous_uep,all_ones,23.11360211321648,0.6772998300849968,0.8319631412836677,22.606382978723403,47.96099290780142,79.16666666666667
out_continuous_uep_r2plus1d_matched_validation/ContinuousUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,r2plus1d,continuous_uep,bypass,23.113602108143745,0.6772998318023292,0.8319631417592367,22.606382978723403,47.96099290780142,79.16666666666667
out_fixed_budget_aggressive_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,learned,22.945043406587967,0.6773561626302858,0.8247559420394559,21.18794326241135,46.01063829787234,79.16666666666667
out_fixed_budget_aggressive_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,random,22.584162591196968,0.6779225713289376,0.8171326039319343,17.99645390070922,39.09574468085106,79.16666666666667
out_fixed_budget_aggressive_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,all_ones,22.71286635280501,0.6860170540340403,0.8243295411374552,21.27659574468085,46.98581560283688,79.16666666666667
out_fixed_budget_aggressive_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,bypass,22.712866353650465,0.6860170552493833,0.8243295436209821,21.27659574468085,46.98581560283688,79.16666666666667
out_fixed_budget_mild_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,learned,23.05340456624403,0.6822174163204981,0.8305360562835179,22.429078014184398,48.04964539007092,79.16666666666667
