split,family,mode,evaluator,training_seed,channel,c,snr_db,nominal_cbr,actual_cbr,channel_seed,clips,psnr_db,ssim,ms_ssim_3scale,top1_percent,top5_percent,clean_top1_percent,clean_top5_percent,official_test_used,source_summary
test,fine_tune_only_c8,no_selection,r2plus1d,42,AWGN,8,13.0,1/6,1/6,1042,3783,22.86390095478071,0.6732363147282455,0.8297252622414543,21.75522072429289,44.3563309542691,81.12609040444092,95.37404176579435,True,out_official_test_correction_finetune_c8_primary/fine_tune_only_no_selector_test_AWGN_c8_snr13_channel_seed1042/summary.json
test,fine_tune_only_c8,no_selection,tsn,42,AWGN,8,13.0,1/6,1/6,1042,3783,22.86390095478071,0.6732363147282455,0.8297252622414543,26.883425852498018,52.47158339941845,69.54797779540047,89.87575997885276,True,out_official_test_correction_finetune_c8_primary/fine_tune_only_no_selector_test_AWGN_c8_snr13_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,AWGN,4,1.0,1/12,1/12,1042,3783,21.98971276607206,0.6325658812209031,0.7902363188409187,8.353158868622787,22.495374041765793,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr1_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,AWGN,4,4.0,1/12,1/12,1042,3783,22.433291572129132,0.6535296216784348,0.8022050811772998,9.674861221252973,24.398625429553263,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr4_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,AWGN,4,7.0,1/12,1/12,1042,3783,22.6119275623738,0.6574140439312703,0.810606123734302,10.943695479777954,27.12133227597145,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr7_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,AWGN,4,13.0,1/12,1/12,1042,3783,22.806360476678115,0.6716965326171308,0.822397565450928,13.719270420301347,30.822098863335977,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr13_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,AWGN,4,19.0,1/12,1/12,1042,3783,22.921886519216024,0.6812086151432746,0.8306292213210031,16.230504890298704,34.73433782712133,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr19_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,Rayleigh,4,1.0,1/12,1/12,1042,3783,20.082471652412867,0.6034149657693642,0.753524237442609,4.969600845889506,14.776632302405499,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr1_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,Rayleigh,4,4.0,1/12,1/12,1042,3783,21.596908344215354,0.6184738023497584,0.7679695182696809,6.423473433782712,18.10732223103357,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr4_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,Rayleigh,4,7.0,1/12,1/12,1042,3783,20.4051791704618,0.6279481896215288,0.7745901038099653,5.366111551678562,16.49484536082474,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr7_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,Rayleigh,4,13.0,1/12,1/12,1042,3783,20.62345669126498,0.6514870344001151,0.7904566651987645,6.7935500925191645,19.825535289452816,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr13_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,r2plus1d,42,Rayleigh,4,19.0,1/12,1/12,1042,3783,20.734910726988407,0.662316370122243,0.7997049280269228,7.639439598202485,21.438012159661643,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr19_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,AWGN,4,1.0,1/12,1/12,1042,3783,21.98971276607206,0.6325658812209031,0.7902363188409187,10.600052868094105,29.36822627544277,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr1_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,AWGN,4,4.0,1/12,1/12,1042,3783,22.433291572129132,0.6535296216784348,0.8022050811772998,11.89532117367169,32.17023526301877,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr4_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,AWGN,4,7.0,1/12,1/12,1042,3783,22.6119275623738,0.6574140439312703,0.810606123734302,13.613534232090933,34.39069521543748,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr7_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,AWGN,4,13.0,1/12,1/12,1042,3783,22.806360476678115,0.6716965326171308,0.822397565450928,14.51229183187946,36.452550885540575,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr13_channel_seed1042/summary.json
